设备名称,管理IP,端口,物理状态,协议状态,端口UP时间,端口DOWN时间,速率,双工,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/27,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/28,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/29,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/30,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/31,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/32,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/33,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/34,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/35,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/36,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/37,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
