
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/3       ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/4       ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/5       ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/6       ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/7       ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/8       ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/9       ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/10      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/11      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/12      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/13      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/14      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/15      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/16      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/17      ,desirable,1,1-4094,
