弱电间,列1,序列号,列2,列3,列4,列5,列6,过线柜弱电间侧,列7,列8,过线柜机房侧,列9,列10,机房机柜侧,列11,列12,列13,列14,列15
7F,3#,102376880712,内网POE交换机,25U&12U&U&6U,XG0/0/4,41U,1口,内网3柜-背,42U,1口,内网3柜-正,8U,1口,B13,背-34U,1口,无线汇聚7706-3,15-24U,XGE5/0/3
7F,3#,102376880706,内网POE交换机,25U&12U&6U,XG0/0/4,41U,16口,内网3柜-背,42U,16口,内网3柜-正,4U,1口,B13,背-32U,1口,无线汇聚7706-4,3-12U,XGE5/0/3
8F,1#,102376880740,内网POE交换机,6U&12U&6U2,XG0/0/4,41U,1口,内网3柜-背,38U,1口,内网3柜-正,8U,5口,B13,背-34U,5口,无线汇聚7706-3,15-24U,XGE5/0/5
8F,1#,102376880759,内网POE交换机,6U&12U&6U2,XG0/0/4,41U,13口,内网3柜-背,38U,13口,内网3柜-正,4U,5口,B13,背-32U,5口,无线汇聚7706-4,3-12U,XGE5/0/5
8F,2#,102377155610,内网POE交换机,6U&6U2&12U2,XG0/0/4,41U,1口,内网3柜-背,38U,25口,内网3柜-正,8U,6口,B13,背-34U,6口,无线汇聚7706-3,15-24U,XGE5/0/6
8F,2#,02376880775,内网POE交换机,6U&6U2&12U2,XG0/0/4,41U,13口,内网3柜-背,38U,37口,内网3柜-正,4U,6口,B13,背-32U,6口,无线汇聚7706-4,3-12U,XGE5/0/6
8F,3#,102376880782,内网POE交换机,6U,XG0/0/3,41U,1口,内网3柜-背,36U,1口,内网3柜-正,8U,7口,B13,背-34U,7口,无线汇聚7706-3,15-24U,XGE5/0/7
8F,3#,102376880782,内网POE交换机,6U,XG0/0/4,41U,13口,内网3柜-背,36U,13口,内网3柜-正,4U,7口,B13,背-32U,7口,无线汇聚7706-4,3-12U,XGE5/0/7
8F,3#,102376880797,无线POE交换机,12U,XG0/0/3,41U,2口,无线3柜-背,36U,2口,无线3柜-正,8U,32口,B25,背-36U,32口,无线汇聚7706-3,15-24U,
8F,3#,102376880797,无线POE交换机,12U,XG0/0/4,41U,14口,无线3柜-背,36U,14口,无线3柜-正,8U,44口,B25,背-36U,44口,无线汇聚7706-4,3-12U,
9F,1#,102377155585,内网POE交换机,12U&6U&25U,XG0/0/4,41U,1口,内网3柜-背,32U,1口,内网3柜-正,8U,11口,B13,背-34U,11口,无线汇聚7706-3,15-24U,XGE5/0/9
9F,1#,102377155635,内网POE交换机,12U&6U&25U,XG0/0/4,41U,13口,内网3柜-背,32U,13口,内网3柜-正,4U,11口,B13,背-32U,11口,无线汇聚7706-4,3-12U,XGE5/0/9
9F,2#,102377155624,内网POE交换机,6U&25U&12U,XG0/0/4,41U,1口,内网3柜-背,32U,25口,内网3柜-正,8U,12口,B13,背-34U,12口,无线汇聚7706-3,15-24U,XGE5/0/10
9F,2#,102376880758,内网POE交换机,6U&25U&12U,XG0/0/4,41U,13口,内网3柜-背,32U,37口,内网3柜-正,4U,12口,B13,背-32U,12口,无线汇聚7706-4,3-12U,XGE5/0/10
9F,3#,102376880790,POE交换机,6U&12U,XG0/0/4,41U,1口,内网3柜-背,30U,1口,内网3柜-正,8U,13口,B13,背-34U,13口,无线汇聚7706-3,15-24U,XGE5/0/11
9F,3#,102377155615,POE交换机,12U&6U,XG0/0/4,41U,13口,内网3柜-背,30U,13口,内网3柜-正,4U,13口,B13,背-32U,13口,无线汇聚7706-4,3-12U,XGE5/0/11
9F,3#,102377155580,无线POE交换机,2柜12U,XG0/0/3,41U,2口,无线3柜-背,30U,2口,无线3柜-正,10U,8口,B25,背-38U,8口,无线汇聚7706-3,15-24U,XGE5/0/21
9F,3#,102377155580,无线POE交换机,2柜12U,XG0/0/4,41U,14口,无线3柜-背,30U,14口,无线3柜-正,10U,32口,B25,背-38U,32口,无线汇聚7706-4,3-12U,XGE5/0/21
9F,4#,102377155628,内网POE交换机,6U,XG0/0/3,41U,1口,内网3柜-背,30U,25口,内网3柜-正,8U,14口,B13,背-34U,14口,无线汇聚7706-3,15-24U,XGE5/0/12
9F,4#,102377155628,内网POE交换机,6U,XG0/0/4,41U,13口,内网3柜-背,30U,37口,内网3柜-正,4U,14口,B13,背-32U,14口,无线汇聚7706-4,3-12U,XGE5/0/12
9F,4#,102376880853,无线POE交换机,12U&2柜25U,XG0/0/4,41U,2口,无线3柜-背,30U,26口,无线3柜-正,10U,18口,B25,背-38U,18口,无线汇聚7706-3,15-24U,XGE5/0/22
9F,4#,102376880787,无线POE交换机,2柜25U&12U,XG0/0/4,41U,14口,无线3柜-背,30U,38口,无线3柜-正,10U,42口,B25,背-38U,42口,无线汇聚7706-4,3-12U,XGE5/0/22
B3,1#,102376880762,无线POE交换机,24U,XG0/0/3,38U,1口,无线1柜-正,42U,1口,无线1柜-正,12U,1口,B24,背-42U,1口,无线汇聚7706-1,15-24U,XGE3/0/0
B3,1#,102376880762,无线POE交换机,24U,XG0/0/4,38U,13口,无线1柜-正,42U,13口,无线1柜-正,12U,25口,B24,背-42U,25口,无线汇聚7706-2,3-12U,XGE3/0/0
B3,2#,102376880808,无线POE交换机,18U,XG0/0/3,38U,1口,无线1柜-正,42U,25口,无线1柜-正,12U,2口,B24,背-42U,2口,无线汇聚7706-1,15-24U,XGE3/0/1
B3,2#,102376880808,无线POE交换机,18U,XG0/0/4,38U,13口,无线1柜-正,42U,37口,无线1柜-正,12U,26口,B24,背-42U,26口,无线汇聚7706-2,3-12U,XGE3/0/1
B3,防化值班2#,102376880763,无线POE交换机,24U,XG0/0/3,38U,1口,无线1柜-正,40U,1口,无线1柜-正,12U,3口,B24,背-42U,3口,无线汇聚7706-1,15-24U,XGE3/0/2
B3,防化值班2#,102376880763,无线POE交换机,24U,XG0/0/4,38U,13口,无线1柜-正,40U,13口,无线1柜-正,12U,27口,B24,背-42U,27口,无线汇聚7706-2,3-12U,XGE3/0/2
B3,4#,,空余,,,38U,1口,无线1柜-正,40U,25口,无线1柜-正,12U,4口,B24,背-42U,4口,无线汇聚7706-1,15-24U,
B3,4#,,空余,,,38U,13口,无线1柜-正,40U,37口,无线1柜-正,12U,28口,B24,背-42U,28口,无线汇聚7706-2,3-12U,
B3,5#,102376880827,无线POE交换机,24U,XG0/0/3,38U,1口,无线1柜-正,38U,1口,无线1柜-正,12U,5口,B24,背-42U,5口,无线汇聚7706-1,15-24U,XGE3/0/4
B3,5#,102376880827,无线POE交换机,24U,XG0/0/4,38U,13口,无线1柜-正,38U,13口,无线1柜-正,12U,29口,B24,背-42U,29口,无线汇聚7706-2,3-12U,XGE3/0/4
B3,7#,102376880828,无线POE交换机,27U,XG0/0/3,38U,1口,无线1柜-正,38U,25口,无线1柜-正,12U,6口,B24,背-42U,6口,无线汇聚7706-1,15-24U,XGE3/0/5
B3,7#,102376880828,无线POE交换机,27U,XG0/0/4,38U,13口,无线1柜-正,38U,37口,无线1柜-正,12U,30口,B24,背-42U,30口,无线汇聚7706-2,3-12U,XGE3/0/5
B3,8#,102376880852,无线POE交换机,24U,XG0/0/3,38U,1口,无线1柜-正,36U,1口,无线1柜-正,12U,7口,B24,背-42U,7口,无线汇聚7706-1,15-24U,XGE3/0/6
B3,8#,102376880852,无线POE交换机,24U,XG0/0/4,38U,15口,无线1柜-正,36U,15口,无线1柜-正,12U,31口,B24,背-42U,31口,无线汇聚7706-2,3-12U,XGE3/0/6
B3,10#,102376880846,无线POE交换机,27U,XG0/0/3,38U,1口,无线1柜-正,36U,25口,无线1柜-正,12U,8口,B24,背-42U,8口,无线汇聚7706-1,15-24U,XGE3/0/7
B3,10#,102376880846,无线POE交换机,27U,XG0/0/4,38U,13口,无线1柜-正,36U,37口,无线1柜-正,12U,32口,B24,背-42U,32口,无线汇聚7706-2,3-12U,XGE3/0/7
B3,B-1#,102376880711,无线POE交换机,24U,XG0/0/3,38U,1口,无线1柜-正,34U,25口,无线1柜-正,12U,10口,B24,背-42U,10口,无线汇聚7706-1,15-24U,XGE3/0/9
B3,B-1#,102376880711,无线POE交换机,24U,XG0/0/4,38U,13口,无线1柜-正,34U,37口,无线1柜-正,12U,34口,B24,背-42U,34口,无线汇聚7706-2,3-12U,XGE3/0/9
B3,14#,102376880833,无线POE交换机,27U,XG0/0/3,41U,1口,无线1柜-正,30U,1口,无线1柜-正,12U,13口,B24,背-42U,13口,无线汇聚7706-1,15-24U,XGE3/0/12
B3,14#,102376880833,无线POE交换机,27U,XG0/0/4,41U,13口,无线1柜-正,30U,13口,无线1柜-正,12U,37口,B24,背-42U,37口,无线汇聚7706-2,3-12U,XGE3/0/12
B3,15#,102376880784,无线POE交换机,21U,XG0/0/3,38U,1口,无线1柜-正,30U,25口,无线1柜-正,12U,14口,B24,背-42U,14口,无线汇聚7706-1,15-24U,XGE3/0/13
B3,15#,102376880784,无线POE交换机,21U,XG0/0/4,38U,13口,无线1柜-正,30U,37口,无线1柜-正,12U,38口,B24,背-42U,38口,无线汇聚7706-2,3-12U,XGE3/0/13
B3,15-2#,,无线POE交换机,27U,XG0/0/3,38U,1口,无线1柜-正,28U,1口,无线1柜-正,12U,15口,B24,背-42U,15口,无线汇聚7706-1,15-24U,XGE3/0/14
B3,15-2#,,无线POE交换机,27U,XG0/0/4,38U,13口,无线1柜-正,28U,13口,无线1柜-正,12U,39口,B24,背-42U,39口,无线汇聚7706-2,3-12U,XGE3/0/14
B3,防化值班3#,102376880736,无线POE交换机,27U,XG0/0/3,38U,1口,无线1柜-正,28U,25口,无线1柜-正,12U,16口,B24,背-42U,16口,无线汇聚7706-1,15-24U,XGE3/0/15
B3,防化值班3#,102376880736,无线POE交换机,27U,XG0/0/4,38U,13口,无线1柜-正,28U,37口,无线1柜-正,12U,40口,B24,背-42U,40口,无线汇聚7706-2,3-12U,XGE3/0/15
B3,防化值班4#,,无线POE交换机,27U,XG0/0/3,38U,1口,无线1柜-正,26U,25口,无线1柜-正,12U,18口,B24,背-42U,18口,无线汇聚7706-1,15-24U,XGE3/0/17
B3,防化值班4#,,无线POE交换机,27U,XG0/0/4,38U,13口,无线1柜-正,26U,37口,无线1柜-正,12U,42口,B24,背-42U,42口,无线汇聚7706-2,3-12U,XGE3/0/17
B3,B-3#,102376880712,无线POE交换机,25U&12U&6U,XG0/0/4,38U,1口,无线1柜-正,24U,1口,无线1柜-正,12U,19口,B24,背-42U,19口,无线汇聚7706-1,15-24U,XGE3/0/18
B3,B-3#,102376880843,无线POE交换机,25U&12U&6U,XG0/0/4,38U,13口,无线1柜-正,24U,13口,无线1柜-正,12U,43口,B24,背-42U,43口,无线汇聚7706-2,3-12U,XGE3/0/18
B2,1#,102376880751,无线POE交换机,24U,XG0/0/3,38U,1口,无线1柜-正,22U,1口,无线1柜-正,12U,21口,B24,背-42U,21口,无线汇聚7706-1,15-24U,XGE3/0/20
